Organization Name,Company Location,Verifier,Video link,2nd video link
2060.io,Colombia,Danube Tech Universal Verifier,https://www.youtube.com/watch?v=4Ztz0QWreXY,
Animo Solutions,The Netherlands,Danube Tech Universal Verifier,https://www.youtube.com/watch?v=GVNLJlFUfPM,
Aviary Tech,Canada,VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=TDVMc9xRREg,
Brand New Learning Co,United Kingdom,MATTR Launchpad,https://www.youtube.com/watch?v=dngz6OFU9Vg&t=46s,
Danube Tech,Austria,Danube Tech Universal Verifier,https://www.youtube.com/watch?v=o_oCAKSN_gU,
Digital Bazaar,United States (Virginia),VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=kTEaC18y-7Q,
Diwala AS,"Norway, Uganda",Danube Tech Universal Verifier,https://www.youtube.com/watch?v=Jyhd1i8i5U8,
EBSCO | Alabama Talent Triad,United States (Alabama),,https://www.youtube.com/watch?v=lgNwDlFx-KQ,https://www.youtube.com/watch?v=X-_jAVbAbu4
Gobekli,United States (Massachusetts),VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=3hVAjpU_NM8,
Greek Universities Network (GUnet),Greece,MATTR Launchpad,https://www.youtube.com/watch?v=oe087pi6AqA,
iDatafy SmartResume,United States (Arkansas),SmartResume,https://www.youtube.com/watch?v=9XGW1MRAJvw,
Infisign Inc.,United States (New Jersey),MATTR Launchpad,https://www.youtube.com/watch?v=9xPrlZXzJ58,
iQ4,United States,VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=gCJR-lrERo8,
Jobspeaker,United States (California),VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=F_2egNiqwOU,
Learning Economy Foundation,"United States (Washington, DC)",VC Playground (Digital Bazaar),https://www.loom.com/share/fb7105b666e34ea0bd3dd0d7c824dc25,
Lehner Studios,United States (New York),VC Playground (Digital Bazaar),https://toobnix.org/w/wULy2mDVDjZ1WsPmrt1Q2c,
MATTR,New Zealand,MATTR Launchpad,https://www.youtube.com/watch?v=b8ou88qj0QA,
Mavennet Systems Inc,Canada,VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=8OhDe1_s1kc,
"Prevail Wellbeing, Inc. d/b/a Lifequipt",United States (Kentucky),VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=ruorLu-XJgM,
RANDA Solutions,United States,VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=4Ffv3EEEZyY,
Sphereon International BV,The Netherlands,,https://youtu.be/0McRqVGtfAs?si=b6Z_G2NXsAJeY5D1,
Territorium,United States (Texas),VC Playground (Digital Bazaar),https://www.youtube.com/watch?v=kxkC9t0wY6g,
Validated ID S.L.,Spain,Danube Tech Universal Verifier | MATTR Launchpad,https://www.youtube.com/watch?v=5c_vPK5x9Lg,https://www.youtube.com/watch?v=jpQQT4wijx4
walt.id,Austria,MATTR Launchpad,https://www.youtube.com/watch?v=teMGCaB26nQ,
